sname,District_Name,Crop_Year,cseason,Crop,Area,production,ratio_of_production,label
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001.0,Kharif     ,Rice,9718.0,4573473434.0,291638.4028822854,2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001.0,Whole Year ,Cashewnut,81.0,33.0,0.0021043234281341665,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001.0,Whole Year ,Coconut ,7015.0,25250000.0,1610.126259405688,2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001.0,Whole Year ,Dry ginger,344.0,1124.0,0.07167453130978192,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001.0,Whole Year ,Sugarcane,81.0,2379.0,0.15170258895549038,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001.0,Whole Year ,Sweet potato,100.0,5.0,0.0003188368830506313,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Kharif     ,Rice,6854.3,7457647657.0,475554.6267695447,2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Arecanut,1160.0,3011.7,0.19204820813671725,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Banana,957.57,8582.0,0.5472516260681035,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Black pepper,175.0,191.14,0.012188496365259533,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Cashewnut,40.5,44.0,0.0028057645708455554,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Coconut ,3575.0,15400000.0,982.0175997959444,2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Dry chillies,235.72,824.3,0.052563448539727074,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Dry ginger,98.66,929.0,0.0592398928708073,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,other oilseeds,35.62,21.4,0.0013646218594567019,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Sugarcane,71.3,1500.0,0.09565106491518939,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Sweet potato,30.0,240.0,0.015304170386430302,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Tapioca,255.0,1420.0,0.09054967478637929,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Turmeric,68.0,408.0,0.026017089656931513,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Autumn     ,Rice,6791.0,20118.0,1.2828720826425202,2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Autumn     ,Sugarcane,73.33,889.2,0.05670195128172427,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Arecanut,1296.0,6546363434.0,417444.4225226374,2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Arhar/Tur,294.5,90.8,0.005790077796199464,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Black pepper,168.0,24333.0,1.5516515750542024,2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Cashewnut,84.5,433.0,0.02761127407218467,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Dry chillies,254.0,402.0,0.025634485397270756,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Dry ginger,110.0,1011.84,0.06452238234919015,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Groundnut,4.75,253.0,0.016133146282361944,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Maize,86.7,96.4,0.006147175105216172,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Moong(Green Gram),1168.6,547457564.0,34909.9326616503,2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Sunflower,2.9,543.0,0.03462568549929856,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Sweet potato,109.0,480.0,0.030608340772860603,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Turmeric,68.0,376.5,0.024008417293712538,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Urad,1059.5,456536453.0,29112.131934702207,2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Whole Year ,Banana,657.0,7968.0,0.5080984568294861,1
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Whole Year ,Coconut ,3668.0,12700000.0,809.8456829486034,2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Whole Year ,Tapioca,186.5,1355.0,0.08640479530672109,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002.0,Kharif     ,Rice,10695.8,31600.82,2.01510139012881,2
